BuyerID,Period,Declared_Price
1,6,360
2,6,490
1,7,360
2,7,490
1,8,360
2,8,490
1,9,360
2,9,490
1,2,360
2,2,490
1,3,360
2,3,490
1,4,360
2,4,490
1,5,360
2,5,490
3,15,490
4,15,600
5,21,460
6,21,490
7,3,350
8,3,500
3,14,490
4,14,600
5,22,460
6,22,490
7,2,350
8,2,500
7,1,350
8,1,500
3,13,490
4,13,600
5,20,460
6,20,490
3,12,490
4,12,600
3,19,490
4,19,600
7,7,350
8,7,500
7,6,350
8,6,500
3,18,490
4,18,600
5,23,460
6,23,490
7,5,350
8,5,500
3,17,490
4,17,600
5,24,460
6,24,490
3,16,490
4,16,600
7,4,350
8,4,500
7,9,350
8,9,500
7,8,350
8,8,500
3,22,490
4,22,600
9,4,470
10,4,580
9,3,470
10,3,580
3,21,490
4,21,600
3,20,490
4,20,600
9,2,470
10,2,580
9,1,470
10,1,580
9,8,470
10,8,580
9,7,470
10,7,580
9,6,470
10,6,580
1,1,360
2,1,490
9,5,470
10,5,580
9,9,470
10,9,580
5,18,460
6,18,490
5,19,460
6,19,490
5,16,460
6,16,490
5,17,460
6,17,490
5,10,460
6,10,490
5,11,460
6,11,490
5,14,460
6,14,490
5,15,460
6,15,490
5,12,460
6,12,490
5,13,460
6,13,490
11,10,450
12,10,560
3,11,490
4,11,600
3,10,490
4,10,600
13,15,360
14,15,480
15,23,480
16,23,570
13,14,360
14,14,480
15,22,480
16,22,570
13,17,360
14,17,480
13,16,360
14,16,480
15,24,480
16,24,570
13,11,360
14,11,480
13,10,360
14,10,480
13,13,360
14,13,480
15,21,480
16,21,570
13,12,360
14,12,480
15,20,480
16,20,570
11,19,450
12,19,560
11,18,450
12,18,560
9,22,470
10,22,580
11,17,450
12,17,560
9,21,470
10,21,580
11,16,450
12,16,560
9,24,470
10,24,580
11,15,450
12,15,560
9,23,470
10,23,580
11,14,450
12,14,560
11,13,450
12,13,560
11,12,450
12,12,560
9,20,470
10,20,580
11,11,450
12,11,560
9,19,470
10,19,580
11,21,450
12,21,560
9,18,470
10,18,580
11,20,450
12,20,560
9,15,470
10,15,580
9,14,470
10,14,580
9,17,470
10,17,580
9,16,470
10,16,580
13,19,360
14,19,480
13,18,360
14,18,480
5,2,460
6,2,490
5,1,460
6,1,490
5,4,460
6,4,490
15,12,480
16,12,570
5,3,460
6,3,490
15,11,480
16,11,570
17,1,460
18,1,550
5,6,460
6,6,490
17,2,460
18,2,550
