SellerID,Period,Declared_Price
1,5,120
2,5,170
3,5,240
4,5,250
1,4,120
2,4,170
3,4,240
4,4,250
1,7,120
2,7,170
3,7,240
4,7,250
1,6,120
2,6,170
3,6,240
4,6,250
1,9,120
2,9,170
3,9,240
4,9,250
1,8,120
2,8,170
3,8,240
4,8,250
5,20,135
6,20,136
7,20,137
8,20,138
9,20,139
10,20,140
11,20,141
12,20,142
13,20,143
14,20,144
15,20,145
16,20,155
17,20,156
18,20,157
19,20,158
20,20,159
21,20,160
22,20,161
23,20,162
24,20,163
25,20,164
26,20,165
27,20,235
28,20,236
29,20,239
30,20,240
31,20,241
32,20,242
33,20,243
34,20,244
35,20,396
36,20,397
37,20,398
38,20,399
39,20,401
40,20,403
41,20,405
42,20,406
5,23,135
6,23,136
7,23,137
8,23,138
9,23,139
10,23,140
11,23,141
12,23,142
13,23,143
14,23,144
15,23,145
16,23,155
17,23,156
18,23,157
19,23,158
20,23,159
21,23,160
22,23,161
23,23,162
24,23,163
25,23,164
26,23,165
27,23,235
28,23,236
29,23,239
30,23,240
31,23,241
32,23,242
33,23,243
34,23,244
35,23,396
36,23,397
37,23,398
38,23,399
39,23,401
40,23,403
41,23,405
42,23,406
1,24,120
2,24,170
3,24,240
4,24,250
5,24,135
6,24,136
7,24,137
8,24,138
9,24,139
10,24,140
11,24,141
12,24,142
13,24,143
14,24,144
15,24,145
16,24,155
17,24,156
18,24,157
19,24,158
20,24,159
21,24,160
22,24,161
23,24,162
24,24,163
25,24,164
26,24,165
27,24,235
28,24,236
29,24,239
30,24,240
31,24,241
32,24,242
33,24,243
34,24,244
35,24,396
36,24,397
37,24,398
38,24,399
39,24,401
40,24,403
41,24,405
42,24,406
1,23,120
2,23,170
3,23,240
4,23,250
5,21,135
6,21,136
7,21,137
8,21,138
9,21,139
10,21,140
11,21,141
12,21,142
13,21,143
14,21,144
15,21,145
16,21,155
17,21,156
18,21,157
19,21,158
20,21,159
21,21,160
22,21,161
23,21,162
24,21,163
25,21,164
26,21,165
27,21,235
28,21,236
29,21,239
30,21,240
31,21,241
32,21,242
33,21,243
34,21,244
35,21,396
36,21,397
37,21,398
38,21,399
39,21,401
40,21,403
41,21,405
42,21,406
1,22,120
2,22,170
3,22,240
4,22,250
5,22,135
6,22,136
7,22,137
8,22,138
9,22,139
10,22,140
11,22,141
12,22,142
13,22,143
14,22,144
15,22,145
16,22,155
17,22,156
18,22,157
19,22,158
20,22,159
21,22,160
22,22,161
23,22,162
24,22,163
25,22,164
26,22,165
27,22,235
28,22,236
29,22,239
30,22,240
31,22,241
32,22,242
33,22,243
34,22,244
35,22,396
36,22,397
37,22,398
38,22,399
39,22,401
40,22,403
41,22,405
42,22,406
1,21,120
2,21,170
3,21,240
4,21,250
1,20,120
2,20,170
3,20,240
4,20,250
56,1,117
57,1,121
58,1,123
59,1,124
60,1,256
61,1,257
62,1,258
63,1,259
64,1,260
65,1,261
66,1,262
67,1,263
68,1,264
56,2,117
57,2,121
58,2,123
59,2,124
60,2,256
61,2,257
62,2,258
63,2,259
64,2,260
65,2,261
66,2,262
67,2,263
68,2,264
56,3,117
57,3,121
58,3,123
59,3,124
60,3,256
61,3,257
62,3,258
63,3,259
64,3,260
65,3,261
66,3,262
67,3,263
68,3,264
56,4,117
57,4,121
58,4,123
59,4,124
60,4,256
61,4,257
62,4,258
63,4,259
64,4,260
65,4,261
66,4,262
67,4,263
68,4,264
56,5,117
57,5,121
58,5,123
59,5,124
60,5,256
61,5,257
62,5,258
63,5,259
64,5,260
65,5,261
66,5,262
67,5,263
68,5,264
56,6,117
57,6,121
58,6,123
59,6,124
60,6,256
61,6,257
62,6,258
63,6,259
64,6,260
65,6,261
66,6,262
67,6,263
68,6,264
1,1,120
2,1,170
3,1,240
4,1,250
56,7,117
57,7,121
58,7,123
59,7,124
60,7,256
61,7,257
62,7,258
63,7,259
64,7,260
65,7,261
66,7,262
67,7,263
68,7,264
56,8,117
57,8,121
58,8,123
59,8,124
60,8,256
61,8,257
62,8,258
63,8,259
64,8,260
65,8,261
66,8,262
67,8,263
68,8,264
1,3,120
2,3,170
3,3,240
4,3,250
56,9,117
57,9,121
58,9,123
59,9,124
60,9,256
61,9,257
62,9,258
63,9,259
64,9,260
65,9,261
66,9,262
67,9,263
68,9,264
1,2,120
2,2,170
3,2,240
4,2,250
108,13,205
109,13,206
110,13,207
111,13,208
112,13,209
113,13,210
114,13,211
115,13,212
116,13,213
117,13,215
118,13,255
119,13,256
120,13,257
121,13,258
122,13,259
123,13,260
124,13,261
125,13,262
126,13,263
127,13,264
128,13,265
129,13,267
130,13,269
131,13,271
132,13,273
133,13,274
108,14,205
109,14,206
110,14,207
111,14,208
112,14,209
113,14,210
114,14,211
115,14,212
116,14,213
117,14,215
118,14,255
119,14,256
120,14,257
121,14,258
122,14,259
123,14,260
124,14,261
125,14,262
126,14,263
127,14,264
128,14,265
129,14,267
130,14,269
131,14,271
132,14,273
133,14,274
108,11,205
109,11,206
110,11,207
111,11,208
112,11,209
113,11,210
114,11,211
115,11,212
116,11,213
117,11,215
118,11,255
119,11,256
120,11,257
121,11,258
122,11,259
123,11,260
124,11,261
125,11,262
126,11,263
127,11,264
128,11,265
129,11,267
130,11,269
131,11,271
132,11,273
133,11,274
1,19,120
2,19,170
3,19,240
4,19,250
108,12,205
109,12,206
110,12,207
111,12,208
112,12,209
113,12,210
114,12,211
115,12,212
116,12,213
117,12,215
118,12,255
119,12,256
120,12,257
121,12,258
122,12,259
123,12,260
124,12,261
125,12,262
126,12,263
127,12,264
128,12,265
129,12,267
130,12,269
131,12,271
132,12,273
133,12,274
1,18,120
2,18,170
3,18,240
4,18,250
108,17,205
109,17,206
110,17,207
111,17,208
112,17,209
113,17,210
114,17,211
115,17,212
116,17,213
117,17,215
118,17,255
119,17,256
120,17,257
121,17,258
122,17,259
123,17,260
124,17,261
125,17,262
126,17,263
127,17,264
128,17,265
129,17,267
130,17,269
131,17,271
132,17,273
133,17,274
1,17,120
2,17,170
3,17,240
4,17,250
108,18,205
109,18,206
110,18,207
111,18,208
112,18,209
113,18,210
114,18,211
115,18,212
116,18,213
117,18,215
118,18,255
119,18,256
120,18,257
121,18,258
122,18,259
123,18,260
124,18,261
125,18,262
126,18,263
127,18,264
128,18,265
129,18,267
130,18,269
131,18,271
132,18,273
133,18,274
1,16,120
2,16,170
3,16,240
4,16,250
