time period,ATC_Upper_Limit (MW),ATC_Lower_Limit (MW),Transmission_Line_Name,ID,Starting_Province,Ending_Province,,,,,
1,999999,-999999,DC87f058,1,38,30,,,,,
2,999999,-999999,DC87f058,1,38,30,,,,,
3,999999,-999999,DC87f058,1,38,30,,,,,
4,999999,-999999,DC87f058,1,38,30,,,,,
5,999999,-999999,DC87f058,1,38,30,,,,,
6,999999,-999999,DC87f058,1,38,30,,,,,
7,999999,-999999,DC87f058,1,38,30,,,,,
8,999999,-999999,DC87f058,1,38,30,,,,,
9,999999,-999999,DC87f058,1,38,30,,,,,
10,999999,-999999,DC87f058,1,38,30,,,,,
11,999999,-999999,DC87f058,1,38,30,,,,,
12,999999,-999999,DC87f058,1,38,30,,,,,
13,999999,-999999,DC87f058,1,38,30,,,,,
14,999999,-999999,DC87f058,1,38,30,,,,,
15,999999,-999999,DC87f058,1,38,30,,,,, 
16,999999,-999999,DC87f058,1,38,30,,,,,
17,999999,-999999,DC87f058,1,38,30,,,,,
18,999999,-999999,DC87f058,1,38,30,,,,,
19,999999,-999999,DC87f058,1,38,30,,,,,
20,999999,-999999,DC87f058,1,38,30,,,,,
21,999999,-999999,DC87f058,1,38,30,,,,,
22,999999,-999999,DC87f058,1,38,30,,,,,
23,999999,-999999,DC87f058,1,38,30,,,,,
24,999999,-999999,DC87f058,1,38,30,,,,,
1,2450,-1900,ACedc057,65,32,32,,,,,
2,2450,-1900,ACedc057,65,32,32,,,,,
3,2450,-1900,ACedc057,65,32,32,,,,,
4,2450,-1900,ACedc057,65,32,32,,,,,
5,2450,-1900,ACedc057,65,32,32,,,,,
6,2450,-1900,ACedc057,65,32,32,,,,,
7,2450,-1900,ACedc057,65,32,32,,,,,
8,2450,-1900,ACedc057,65,32,32,,,,,
9,2450,-1900,ACedc057,65,32,32,,,,,
10,2450,-1900,ACedc057,65,32,32,,,,,
11,2450,-1900,ACedc057,65,32,32,,,,,
12,2450,-1900,ACedc057,65,32,32,,,,,
13,2450,-1900,ACedc057,65,32,32,,,,,
14,2450,-1900,ACedc057,65,32,32,,,,,
15,2450,-1900,ACedc057,65,32,32,,,,,
16,2450,-1900,ACedc057,65,32,32,,,,,
17,2450,-1900,ACedc057,65,32,32,,,,,
18,2450,-1900,ACedc057,65,32,32,,,,,
19,2450,-1900,ACedc057,65,32,32,,,,,
20,2450,-1900,ACedc057,65,32,32,,,,,
21,2450,-1900,ACedc057,65,32,32,,,,,
22,2450,-1900,ACedc057,65,32,32,,,,,
23,2450,-1900,ACedc057,65,32,32,,,,,
24,2450,-1900,ACedc057,65,32,32,,,,,
1,1600,-2500,ACedc056,68,32,32,,,,,
2,1600,-2500,ACedc056,68,32,32,,,,,
3,1600,-2500,ACedc056,68,32,32,,,,,
4,1600,-2500,ACedc056,68,32,32,,,,,
